[2025-07-08 17:05:30] | OrdenID: 318 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-08 17:05:55] | OrdenID: 320 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-09 13:51:08] | OrdenID: 321 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-09 15:16:49] | OrdenID: 324 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-09 15:18:27] | OrdenID: 323 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-09 17:17:37] | OrdenID: 325 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-09 17:18:01] | OrdenID: 322 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-10 17:20:59] | OrdenID: 326 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-10 17:35:01] | OrdenID: 327 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-11 12:23:04] | OrdenID: 328 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-11 12:25:40] | OrdenID: 332 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-11 12:25:40] | OrdenID: 332 | Acción: Marcar remisión | Estado anterior: LIBERADO | Estado nuevo: LIBERADO
[2025-07-11 16:40:16] | OrdenID: 330 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-11 16:40:42] | OrdenID: 331 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
[2025-07-11 16:40:56] | OrdenID: 329 | Acción: Completar y marcar como facturada | Estado anterior: COMPLETADA | Estado nuevo: FACTURADA
